pair,i_py,j_ml,center_dist,py_noise_sigma,py_n_spikes,py_snr_median,py_snr_p90,py_snr_max,py_spectral_hf_snr,py_psd_floor,ml_noise_sigma,ml_n_spikes,ml_snr_median,ml_snr_p90,ml_snr_max,ml_spectral_hf_snr,ml_psd_floor,corr_raw,corr_hp,coh_hi
314,314,31,0.000,0.142426,6,5.39119,7.40575,7.59669,0.586556,4.22066e-05,0.142426,6,5.39119,7.40575,7.59669,0.586556,4.22066e-05,1,1,1
315,315,259,0.000,0.126738,18,4.92515,8.10831,9.27335,1.67737,2.77383e-05,0.126738,18,4.92515,8.10831,9.27335,1.67737,2.77383e-05,1,1,1
316,316,104,0.000,0.0291751,5,4.82129,5.1935,5.29615,1.16206,1.58622e-06,0.0291751,5,4.82129,5.1935,5.29615,1.16206,1.58622e-06,1,1,1
317,317,215,0.000,0.0584399,5,4.46798,4.83072,5.04669,0.628831,6.81211e-06,0.0584399,5,4.46798,4.83072,5.04669,0.628831,6.81211e-06,1,1,1
318,318,163,0.000,0.0456323,4,4.36761,5.00086,5.15303,1.05055,3.87566e-06,0.0456323,4,4.36761,5.00086,5.15303,1.05055,3.87566e-06,1,1,1
319,319,216,0.000,0.0650553,6,4.82695,5.33873,5.34631,0.757706,8.46339e-06,0.0650553,6,4.82695,5.33873,5.34631,0.757706,8.46339e-06,1,1,1
320,320,217,0.000,0.17173,16,4.71568,6.98438,10.84,1.56725,5.30555e-05,0.17173,16,4.71568,6.98438,10.84,1.56725,5.30555e-05,1,1,1
321,321,293,0.000,0.0161019,29,4.63104,5.43094,6.4786,3.84376,3.82744e-07,0.0161019,29,4.63104,5.43094,6.4786,3.84376,3.82744e-07,1,1,1
322,322,344,0.000,0.180101,29,5.64052,7.46545,8.34769,2.40206,5.80199e-05,0.180101,29,5.64052,7.46545,8.34769,2.40206,5.80199e-05,1,1,1
323,323,130,0.000,0.0378999,27,5.10641,5.99433,6.69654,1.36159,2.68248e-06,0.0378999,27,5.10641,5.99433,6.69654,1.36159,2.68248e-06,1,1,1
324,324,71,0.000,0.0189071,16,4.75038,6.77358,7.07024,2.66424,6.17979e-07,0.0189071,16,4.75038,6.77358,7.07024,2.66424,6.17979e-07,1,1,1
325,325,101,0.000,0.0128299,13,4.85051,5.98436,6.53303,4.6114,2.31455e-07,0.0128299,13,4.85051,5.98436,6.53303,4.6114,2.31455e-07,1,1,1
326,326,282,0.000,0.0786264,0,nan,nan,nan,0.0939615,1.46275e-05,0.0786264,0,nan,nan,nan,0.0939615,1.46275e-05,1,1,1
327,327,231,0.000,0.105312,139,4.89057,8.98143,9.90566,0.308796,0.000130265,0.106403,138,4.89119,8.9853,9.89841,0.308765,0.000132785,1,1,1
328,328,292,0.000,0.0506787,3,4.4635,4.68581,4.74138,0.97118,5.00315e-06,0.0506787,3,4.4635,4.68581,4.74138,0.97118,5.00315e-06,1,1,1
329,329,318,0.000,0.0409312,7,4.52241,5.41269,5.69349,0.985004,3.25709e-06,0.0409312,7,4.52241,5.41269,5.69349,0.985004,3.25709e-06,1,1,1
330,330,52,0.000,0.216275,5,5.14804,5.45742,5.59129,0.707582,9.50951e-05,0.216275,5,5.14804,5.45742,5.59129,0.707582,9.50951e-05,1,1,1
331,331,267,0.000,0.0506826,0,nan,nan,nan,0.100916,6.45149e-06,0.0506826,0,nan,nan,nan,0.100916,6.45149e-06,1,1,1
332,332,247,0.000,0.0521151,3,4.20665,4.4176,4.47034,0.650827,5.66093e-06,0.0521151,3,4.20665,4.4176,4.47034,0.650827,5.66093e-06,1,1,1
333,333,280,0.000,0.0580618,6,4.62091,5.19324,5.23814,0.603718,6.87449e-06,0.0580618,6,4.62091,5.19324,5.23814,0.603718,6.87449e-06,1,1,1
334,334,1,0.000,0.0363463,10,4.46325,4.82177,5.99042,0.897874,2.72927e-06,0.0363463,10,4.46325,4.82177,5.99042,0.897874,2.72927e-06,1,1,1
335,335,44,0.000,0.0436208,1,4.10946,4.10946,4.10946,1.07582,3.33117e-06,0.0436208,1,4.10946,4.10946,4.10946,1.07582,3.33117e-06,1,1,1
336,336,63,0.000,0.0656832,0,nan,nan,nan,0.359468,9.43499e-06,0.0656832,0,nan,nan,nan,0.359468,9.43499e-06,1,1,1
337,337,86,0.000,0.0191605,14,4.31189,4.8784,5.50604,1.77414,6.16877e-07,0.0191605,14,4.31189,4.8784,5.50604,1.77414,6.16877e-07,1,1,1
338,338,64,0.000,0.0621985,13,4.37718,5.46262,5.92326,1.02195,7.88445e-06,0.0621985,13,4.37718,5.46262,5.92326,1.02195,7.88445e-06,1,1,1
339,339,131,0.000,0.0477674,8,4.98468,5.73886,5.84807,0.596662,4.61274e-06,0.0477674,8,4.98468,5.73886,5.84807,0.596662,4.61274e-06,1,1,1
340,340,45,0.000,0.0424704,4,4.2919,4.62466,4.72897,1.34672,3.08282e-06,0.0424704,4,4.2919,4.62466,4.72897,1.34672,3.08282e-06,1,1,1
341,341,263,0.000,0.0390533,24,4.72534,5.5574,6.54455,1.2114,3.09089e-06,0.0390533,24,4.72534,5.5574,6.54455,1.2114,3.09089e-06,1,1,1
342,342,208,0.000,0.0512277,1,4.32166,4.32166,4.32166,0.645043,5.09541e-06,0.0512277,1,4.32166,4.32166,4.32166,0.645043,5.09541e-06,1,1,1
343,343,328,0.000,0.178723,40,6.37853,8.15359,9.4847,3.04072,5.61279e-05,0.178723,40,6.37853,8.15359,9.4847,3.04072,5.61279e-05,1,1,1
344,344,194,0.000,0.16524,25,4.73427,7.08477,8.46386,2.01232,5.00838e-05,0.16524,25,4.73427,7.08477,8.46386,2.01232,5.00838e-05,1,1,1
345,345,0,0.000,0.0327193,24,4.53081,5.18898,5.39471,1.0124,2.22033e-06,0.0327193,24,4.53081,5.18898,5.39471,1.0124,2.22033e-06,1,1,1
346,346,96,0.000,0.0438672,2,4.90554,5.26587,5.35595,0.90877,3.64098e-06,0.0438672,2,4.90554,5.26587,5.35595,0.90877,3.64098e-06,1,1,1
347,347,158,0.000,0.14294,7,6.48746,7.86287,8.72244,1.08242,4.05784e-05,0.14294,7,6.48746,7.86287,8.72244,1.08242,4.05784e-05,1,1,1
348,348,348,0.000,0.0298454,15,4.6445,5.5826,5.91508,0.762247,1.93612e-06,0.0298454,15,4.6445,5.5826,5.91508,0.762247,1.93612e-06,1,1,1
349,349,139,0.000,0.0315275,2,4.40578,4.55765,4.59561,0.907501,1.92642e-06,0.0315275,2,4.40578,4.55765,4.59561,0.907501,1.92642e-06,1,1,1
350,350,80,0.000,0.0464874,2,4.48166,4.74293,4.80825,0.888068,4.05269e-06,0.0464874,2,4.48166,4.74293,4.80825,0.888068,4.05269e-06,1,1,1
