pair,i_py,j_ml,center_dist,py_noise_sigma,py_n_spikes,py_snr_median,py_snr_p90,py_snr_max,py_spectral_hf_snr,py_psd_floor,ml_noise_sigma,ml_n_spikes,ml_snr_median,ml_snr_p90,ml_snr_max,ml_spectral_hf_snr,ml_psd_floor,corr_raw,corr_hp,coh_hi
60,60,268,0.000,0.054797,19,4.60781,5.11431,5.75388,1.09139,6.22736e-06,0.054797,19,4.60781,5.11431,5.75388,1.09139,6.22736e-06,1,1,1
61,61,176,0.000,0.0674515,7,4.62802,5.05874,5.42715,0.993819,8.38714e-06,0.0674515,7,4.62802,5.05874,5.42715,0.993819,8.38714e-06,1,1,1
62,62,179,0.000,0.038861,9,4.51654,4.82839,5.26166,1.63604,2.6121e-06,0.038861,9,4.51654,4.82839,5.26166,1.63604,2.6121e-06,1,1,1
63,63,269,0.000,0.0651426,23,4.55344,5.77757,6.84318,1.19499,8.39852e-06,0.0651426,23,4.55344,5.77757,6.84318,1.19499,8.39852e-06,1,1,1
64,64,325,0.000,0.199093,64,5.67534,7.21634,8.6697,2.84295,7.49533e-05,0.199093,64,5.67534,7.21634,8.6697,2.84295,7.49533e-05,1,1,1
65,65,76,0.000,0.144478,22,5.14371,8.08511,8.88939,1.57671,4.07404e-05,0.144478,22,5.14371,8.08511,8.88939,1.57671,4.07404e-05,1,1,1
66,66,2,0.000,0.0618438,0,nan,nan,nan,0.761671,7.79999e-06,0.0618438,0,nan,nan,nan,0.761671,7.79999e-06,1,1,1
67,67,69,0.000,0.0643292,0,nan,nan,nan,0.391121,9.10082e-06,0.0643292,0,nan,nan,nan,0.391121,9.10082e-06,1,1,1
68,68,186,0.000,0.0280854,3,4.7176,4.73098,4.73433,0.865917,1.65597e-06,0.0280854,3,4.7176,4.73098,4.73433,0.865917,1.65597e-06,1,1,1
69,69,343,0.000,0.0546341,1,4.29552,4.29552,4.29552,0.345219,6.69077e-06,0.0546341,1,4.29552,4.29552,4.29552,0.345219,6.69077e-06,1,1,1
70,70,242,0.000,0.0195183,146,27.8521,29.9895,30.7625,0.189709,1.82709e-05,0.0195183,146,27.8521,29.9895,30.7625,0.189709,1.82709e-05,1,1,1
71,71,41,0.000,0.147538,35,6.97398,8.56922,9.96635,4.60405,3.96852e-05,0.147538,35,6.97398,8.56922,9.96635,4.60405,3.96852e-05,1,1,1
72,72,189,0.000,0.0208075,12,4.33514,4.96884,5.37458,1.56006,7.75441e-07,0.0208075,12,4.33514,4.96884,5.37458,1.56006,7.75441e-07,1,1,1
73,73,342,0.000,0.0420555,14,4.41831,4.81918,5.32806,1.04674,3.36565e-06,0.0420555,14,4.41831,4.81918,5.32806,1.04674,3.36565e-06,1,1,1
74,74,68,0.000,0.147314,34,5.02803,7.71696,8.01353,1.42346,4.20037e-05,0.147314,34,5.02803,7.71696,8.01353,1.42346,4.20037e-05,1,1,1
75,75,36,0.000,0.0179606,26,5.18139,7.35757,8.16928,2.78455,5.33414e-07,0.0179606,26,5.18139,7.35757,8.16928,2.78455,5.33414e-07,1,1,1
76,76,222,0.000,0.169219,23,4.45927,6.24582,7.11254,1.67626,5.14794e-05,0.169219,23,4.45927,6.24582,7.11254,1.67626,5.14794e-05,1,1,1
77,77,271,0.000,0.141751,34,9.69531,11.5892,12.2281,6.84961,3.42972e-05,0.141751,34,9.69531,11.5892,12.2281,6.84961,3.42972e-05,1,1,1
78,78,297,0.000,0.035079,9,4.45501,5.15223,5.63974,1.26396,2.26516e-06,0.035079,9,4.45501,5.15223,5.63974,1.26396,2.26516e-06,1,1,1
79,79,11,0.000,0.0246446,26,4.81752,5.76575,8.03511,2.15589,1.07304e-06,0.0246446,26,4.81752,5.76575,8.03511,2.15589,1.07304e-06,1,1,1
80,80,127,0.000,0.167208,18,5.01518,7.81678,8.97235,1.66886,5.36503e-05,0.167208,18,5.01518,7.81678,8.97235,1.66886,5.36503e-05,1,1,1
81,81,48,0.000,0.0245481,22,4.77274,6.68518,7.60592,1.87344,1.04236e-06,0.0245481,22,4.77274,6.68518,7.60592,1.87344,1.04236e-06,1,1,1
82,82,60,0.000,0.0323982,4,4.23139,4.97548,5.28189,0.762668,2.13525e-06,0.0323982,4,4.23139,4.97548,5.28189,0.762668,2.13525e-06,1,1,1
83,83,102,0.000,0.0155045,42,59.3017,61.461,62.5443,0.257578,3.6415e-06,0.0154926,42,59.33,61.478,62.5622,0.258483,3.63626e-06,0.999999,0.999999,0.999997
84,84,119,0.000,0.0279161,10,4.35369,4.55274,4.64726,1.21012,1.52083e-06,0.0279161,10,4.35369,4.55274,4.64726,1.21012,1.52083e-06,1,1,1
85,85,225,0.000,0.0315861,2,4.18721,4.27196,4.29315,0.924021,1.84981e-06,0.0315861,2,4.18721,4.27196,4.29315,0.924021,1.84981e-06,1,1,1
86,86,147,0.000,0.153049,33,5.63122,8.01439,9.93333,2.45141,4.56224e-05,0.153049,33,5.63122,8.01439,9.93333,2.45141,4.56224e-05,1,1,1
87,87,294,0.000,0.178547,30,7.29335,8.15752,9.26216,2.27227,6.26577e-05,0.178547,30,7.29335,8.15752,9.26216,2.27227,6.26577e-05,1,1,1
88,88,283,0.000,0.0480102,15,4.48969,4.83828,4.95028,0.618064,4.94439e-06,0.0480102,15,4.48969,4.83828,4.95028,0.618064,4.94439e-06,1,1,1
89,89,300,0.000,0.135811,7,4.92009,8.13632,8.48305,0.982214,3.66951e-05,0.135811,7,4.92009,8.13632,8.48305,0.982214,3.66951e-05,1,1,1
90,90,324,0.000,0.1695,49,7.65529,8.83453,9.88076,4.43821,5.31526e-05,0.1695,49,7.65529,8.83453,9.88076,4.43821,5.31526e-05,1,1,1
91,91,190,0.000,0.139916,21,5.05864,7.98015,8.94082,0.747351,4.31509e-05,0.139916,21,5.05864,7.98015,8.94082,0.747351,4.31509e-05,1,1,1
92,92,38,0.000,0.162469,47,5.40362,6.71955,8.41212,1.74284,5.19732e-05,0.162469,47,5.40362,6.71955,8.41212,1.74284,5.19732e-05,1,1,1
93,93,47,0.000,0.044728,5,4.15224,5.68521,6.32603,0.581291,4.20824e-06,0.044728,5,4.15224,5.68521,6.32603,0.581291,4.20824e-06,1,1,1
94,94,112,0.000,0.0735973,5,4.30973,4.74914,4.86637,0.722768,1.07462e-05,0.0735973,5,4.30973,4.74914,4.86637,0.722768,1.07462e-05,1,1,1
95,95,34,0.000,0.0358455,17,4.60525,5.17987,5.42538,1.45435,2.43065e-06,0.0358455,17,4.60525,5.17987,5.42538,1.45435,2.43065e-06,1,1,1
96,96,142,0.000,0.162843,16,4.69919,7.55042,9.81792,1.83214,4.422e-05,0.162843,16,4.69919,7.55042,9.81792,1.83214,4.422e-05,1,1,1
97,97,285,0.000,0.0426728,10,4.55335,5.40555,5.88555,0.782343,3.72172e-06,0.0426728,10,4.55335,5.40555,5.88555,0.782343,3.72172e-06,1,1,1
98,98,120,0.000,0.0562194,5,4.54208,4.92733,5.10701,0.842528,6.21837e-06,0.0562194,5,4.54208,4.92733,5.10701,0.842528,6.21837e-06,1,1,1
99,99,213,0.000,0.0194077,19,4.58122,5.82221,9.11049,2.35407,6.08678e-07,0.0194077,19,4.58122,5.82221,9.11049,2.35407,6.08678e-07,1,1,1
100,100,332,0.000,0.199439,21,4.87861,6.91301,7.91384,1.37023,7.71692e-05,0.199439,21,4.87861,6.91301,7.91384,1.37023,7.71692e-05,1,1,1
101,101,321,0.000,0.0432982,5,4.13917,4.34836,4.35559,0.582838,3.99434e-06,0.0432982,5,4.13917,4.34836,4.35559,0.582838,3.99434e-06,1,1,1
102,102,59,0.000,0.0352357,33,4.68035,5.46224,6.42235,1.43106,2.34113e-06,0.0352357,33,4.68035,5.46224,6.42235,1.43106,2.34113e-06,1,1,1
103,103,33,0.000,0.0404719,8,4.32913,5.52788,5.75007,1.56914,2.69051e-06,0.0404719,8,4.32913,5.52788,5.75007,1.56914,2.69051e-06,1,1,1
104,104,111,0.000,0.210966,32,5.39564,6.79018,9.10951,2.57073,7.56095e-05,0.210966,32,5.39564,6.79018,9.10951,2.57073,7.56095e-05,1,1,1
105,105,322,0.000,0.0422622,9,4.15026,4.65958,4.68902,0.645489,3.89746e-06,0.0422622,9,4.15026,4.65958,4.68902,0.645489,3.89746e-06,1,1,1
